no,pr,days
1,504,1
2,506,1
3,508,1
4,509,1
5,510,1
6,511,1
7,512,1
8,514,1
9,515,1
10,516,4
11,517,1
12,519,1
13,520,1
14,523,1
15,525,2
16,527,1
17,528,1
18,531,12
19,534,1
20,536,177
21,538,1
22,540,1
23,543,1
24,545,61
25,546,1
26,548,1
27,552,1
28,554,21
29,555,1
30,559,1
31,561,38
32,563,1
33,567,2
34,570,12
35,578,1
36,579,3
37,581,1
38,582,8
39,586,1
40,588,2
41,589,5
42,591,1
43,593,12
44,600,15
45,601,7
46,604,2
47,605,1
48,609,20
49,613,1
50,615,1
51,620,5
52,621,1
53,625,3
54,628,2
55,629,4
56,630,4
57,632,5
58,634,2
59,637,6
60,640,14
61,643,4
62,645,15
63,646,2
64,652,1
65,655,1
66,659,2
67,661,7
68,663,1
69,665,1
70,666,1
71,669,6
72,673,1
73,675,1
74,681,3
74,678,1
75,682,5
76,684,2
77,688,1
78,689,2
79,692,4
80,693,6
81,695,3
82,696,2
83,697,1
84,698,3
85,701,8
86,703,13
87,705,21
88,706,8
89,708,5
90,716,1
91,721,1
92,722,33
93,728,2
94,730,7
95,736,1
96,737,21
97,740,7
98,743,2
99,746,1
100,750,1
101,757,2
102,758,1
103,759,2
104,760,1
105,762,20
106,768,13
107,704,129
108,785,3
109,783,4
110,788,3
111,771,19
112,793,1
113,791,3
114,795,5
115,797,1
116,798,2
117,800,14
118,805,1
119,808,3
120,780,48
121,810,2
122,811,5
123,816,2
124,823,8
125,828,3
126,836,2
127,837,2
128,827,15
129,843,1
130,849,2
131,852,1
132,855,3
133,858,4
134,861,3
135,839,45
136,856,11
137,865,1
138,867,1
139,868,1
140,871,1
141,873,8
142,870,22
143,876,10
144,862,8
145,880,2
146,884,2
147,886,7
148,890,3
149,895,2
150,896,3
151,894,6
152,898,7
153,903,5
154,908,7
