no,pr,days
1,516,18
2,517,72
3,519,8
4,520,6
5,521,20
6,523,45
7,524,9
8,525,72
9,526,22
10,527,14
11,528,1
12,529,6
13,531,30
14,532,20
15,533,32
16,534,38
17,537,41
18,540,24
19,541,2
20,544,1
21,546,6
22,550,15
23,552,4
24,553,7
25,556,14
26,558,22
27,560,23
28,561,30
29,564,9
30,565,7
31,566,18
32,567,19
33,569,8
34,570,30
35,570,30
36,576,19
37,578,3
38,580,39
39,581,7
40,584,1
41,585,10
42,587,26
43,588,7
44,589,55
45,591,30
46,592,6
47,593,20
48,594,14
49,597,19
50,598,38
51,599,6
52,600,44
53,601,13
54,603,4
55,605,32
56,606,146
57,607,1
58,608,6
59,609,10
60,610,11
61,611,31
62,612,15
63,613,28
64,614,19
65,616,3
66,618,13
67,619,20
68,621,5
69,622,15
70,623,22
71,625,18
72,626,22
73,627,9
74,629,31
75,633,23
76,634,2
77,635,12
78,638,24
79,639,13
80,641,15
81,643,2
82,644,6
83,646,13
84,648,4
85,649,43
86,650,25
87,653,10
88,655,28
89,656,31
90,657,34
91,660,26
92,662,34
93,663,48
94,665,34
95,666,33
96,668,25
97,672,10
98,674,25
99,679,22
100,680,20
