no,pr,days
100,516,18
99,517,72
98,519,8
97,520,6
96,521,20
95,523,45
94,524,9
93,525,72
92,526,22
91,527,14
90,528,1
89,529,6
88,531,30
87,532,20
86,533,32
85,534,38
84,537,41
83,540,24
82,541,2
81,544,1
80,546,6
79,550,15
78,552,4
77,553,7
76,556,14
75,558,22
74,560,23
73,561,30
72,564,9
71,565,7
70,566,18
69,567,19
68,569,8
67,570,30
66,570,30
65,576,19
64,578,3
63,580,39
62,581,7
61,584,1
60,585,10
59,587,26
58,588,7
57,589,55
56,591,30
55,592,6
54,593,20
53,594,14
52,597,19
51,598,38
50,599,6
49,600,44
48,601,13
47,603,4
46,605,32
45,606,146
44,607,1
43,608,6
42,609,10
41,610,11
40,611,31
39,612,15
38,613,28
37,614,19
36,616,3
35,618,13
34,619,20
33,621,5
32,622,15
31,623,22
30,625,18
29,626,22
28,627,9
27,629,31
26,633,23
25,634,2
24,635,12
23,638,24
22,639,13
21,641,15
20,643,2
19,644,6
18,646,13
17,648,4
16,649,43
15,650,25
14,653,10
13,655,28
12,656,31
11,657,34
10,660,26
9,662,34
8,663,48
7,665,34
6,666,33
5,668,25
4,672,10
3,674,25
2,679,22
1,680,20
