no,pr,days-open,days-to-test
1,1130,23,1
2,1131,2,2
3,1135,3,1
4,1136,2,1
5,1137,12,1
6,1143,34,2
7,1146,3,1
8,1152,18,8
9,1156,25,1
10,1157,65,2
11,1170,33,1
12,1171,21,1
13,1175,8,1
14,1176,6,1
15,1181,19,1
16,1187,44,1
17,1189,7,1
18,1192,40,2
19,1195,21,2
20,1196,13,4
21,1200,8,1
22,1202,6,1
23,1211,33,6
24,1214,7,1
25,1215,68,4
26,1218,20,1
27,1221,5,1
28,1224,42,14
29,1227,6,1
30,1228,9,4
31,1231,2,1
32,1239,5,2
33,1256,16,4
34,1257,10,1
35,1265,15,1
36,1266,4,1
37,1269,37,1
38,1287,32,2
39,1291,2,1
40,1292,13,1
41,1294,2,1
42,1298,16,1
43,1302,22,1
44,1305,41,3
45,1307,26,1
46,1311,8,2
47,1313,1,1
48,1317,23,1
49,1328,29,1
50,1349,9,1
51,1353,7,1
52,1354,14,1
53,1355,18,1
54,1358,14,1
55,1360,19,2
56,1362,30,1
57,1366,37,1
58,1372,5,3
59,1379,3,1
60,1384,7,2
61,1384,19,2
62,1398,14,1
63,1399,3,1
64,1401,7,1
65,1405,9,1
66,1407,215,1
67,1410,39,1
68,1411,22,1
69,1414,7,1
70,1418,20,1
71,1425,11,1
72,1426,1,1
73,1429,0,1
74,1434,11,2
75,1437,25,1
76,1438,7,1
77,1443,25,1
78,1445,4,1
79,1451,6,1
80,1454,14,1
81,1456,21,1
82,1459,1,1
83,1460,14,1
84,1471,16,2
85,1475,19,1
86,1480,38,1
87,1481,6,1
88,1486,6,1
89,1487,0,0
90,1488,42,1
91,1490,11,2
92,1492,7,2
93,1493,13,1
94,1494,2,1
95,1496,5,1
96,1497,32,1
97,1505,32,1
98,1509,147,1
99,1511,1,1
100,1513,6,1
101,1514,10,1
102,1518,12,1
103,1522,31,1
104,1523,16,1
105,1535,15,1
106,1552,4,1
107,1560,3,2
108,1544,28,3
109,1563,11,1
110,1562,14,2
111,1566,13,1
112,1580,2,1
113,1582,5,1
114,1570,13,1
115,1571,19,1
116,1523,69,1
117,1588,15,0
118,1606,5,5
119,1529,71,2
120,1597,18,1
121,1599,23,3
122,1604,36,2
123,1578,43,2
124,1645,2,1
125,1625,19,3
126,1547,83,1
127,1654,2,1
128,1656,6,1
129,1642,18,1
130,1636,26,0
131,1658,12,2
132,1633,6,1
133,1672,7,1
134,1646,23,1
135,1692,2,1
136,1681,10,1
137,1677,13,1
138,1407,215,1
139,1704,3,1
140,1690,15,1
141,1669,26,2
142,1713,6,2
143,1717,5,0
144,1702,18,2
145,1509,116,1
146,1720,4,1
147,1730,5,0
148,1715,14,1
149,1731,10,2
150,1728,18,1
151,1761,6,1
152,1754,33,3
153,1752,31,1
154,1754,31,2
155,1761,6,0
156,1769,26,4
157,1775,34,2
158,1776,22,1
159,1793,14,1
160,1795,11,1
161,1797,25,1
162,1812,10,5
163,1815,25,1
164,1825,22,1
165,1811,30,1
166,1831,20,1
167,1842,8,1
168,1745,88,3
169,1807,49,4
170,1864,4,1
171,1734,107,1
172,1844,26,1
173,1707,134,1
174,1773,86,1
175,1880,5,2
176,1467,315,2
177,1871,16,2
178,1870,20,2
179,1823,64,1
180,1876,21,3
181,1890,5,1
182,1891,6,2
183,1887,11,3
184,1733,141,2
185,1902,8,1
186,1903,13,4
187,1910,10,2
188,1893,25,7
189,1894,25,2
190,1906,21,2
191,1925,13,3
192,1916,21,2
193,1915,27,5
194,1947,2,2
195,1923,29,4
196,1922,31,2
197,1907,42,2
198,1920,35,1
199,1932,27,1
200,1851,92,1
201,1924,42,4
202,1942,24,2
203,1953,21,1
204,1946,28,5
205,1941,32,2
206,1945,32,2
207,2001,5,3
208,1967,23,2
209,1990,18,3
210,1993,17,2
211,1996,17,1
212,1784,172,3
213,2021,6,2
214,1979,31,1
215,2010,14,4
216,2009,19,2
217,1836,154,2
218,2041,5,2
219,2044,6,1
220,2024,24,6
221,2035,22,2
222,2013,41,3
223,2027,34,1
224,2080,5,1
225,2082,8,3
226,2064,21,1
227,2085,9,1
228,2059,33,1
229,2090,13,1
230,2098,14,1
231,2104,12,1
232,2113,15,1
233,2115,17,1
234,2118,15,1
235,2129,3,1
236,2137,11,3
237,2140,1,1
238,2147,7,1
239,2149,1,1
240,2154,7,3
241,2158,7,1
242,2161,9,1
243,2164,11,2
244,2166,5,3
245,2170,15,1
246,2177,7,1
247,2180,7,2
248,2181,10,3
249,2191,42,4
250,
