no,pr,days
104,760,1
103,759,2
102,758,1
101,757,2
100,750,1
99,746,1
98,743,2
97,740,7
96,737,21
95,736,1
94,730,7
93,728,2
92,722,33
91,721,1
90,716,1
89,708,5
88,706,8
87,705,21
86,703,13
85,701,8
84,698,3
83,697,1
82,696,2
81,695,3
80,693,6
79,692,4
78,689,2
77,688,1
76,684,2
75,682,5
74,681,3
74,678,1
73,675,1
72,673,1
71,669,6
70,666,1
69,665,1
68,663,1
67,661,7
66,659,2
65,655,1
64,652,1
63,646,2
62,645,15
61,643,4
60,640,14
59,637,6
58,634,2
57,632,5
56,630,4
55,629,4
54,628,2
53,625,3
52,621,1
51,620,5
50,615,1
49,613,1
48,609,20
47,605,1
46,604,2
45,601,7
44,600,15
43,593,12
42,591,1
41,589,5
40,588,2
39,586,1
38,582,8
37,581,1
36,579,3
35,578,1
34,570,12
33,567,2
32,563,1
31,561,38
30,559,1
29,555,1
28,554,21
27,552,1
26,548,1
25,546,1
24,545,61
23,543,1
22,540,1
21,538,1
20,536,177
19,534,1
18,531,12
17,528,1
16,527,1
15,525,2
14,523,1
13,520,1
12,519,1
11,517,1
10,516,4
9,515,1
8,514,1
7,512,1
6,511,1
5,510,1
4,509,1
3,508,1
2,506,1
1,504,1
